Altium Designer Pick and Place Locations
C:\Users\hp\Desktop\Barfas_Projects\Barfas_Projects\myProjects\4_KNX\Hardware\Imported\KNX_Relay_16CH_V1.2\ASSY-FILES\Pick Place\Pick Place for KNX_Relay_16CH_V1.2.csv

========================================================================================================================
File Design Information:

Date:       27.07.26
Time:       23:16
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"Q4","2N7002ET1G","BottomLayer","SOT-23","43.5200","122.9525","0",""
"C32","100nF","BottomLayer","C_0603_1608Metric","44.3900","72.7400","90",""
"C39","100nF","BottomLayer","C_0603_1608Metric","43.9900","65.9900","90",""
"R106","10K","BottomLayer","R_0603_1608Metric","42.2700","79.4400","90",""
"R91","1K","BottomLayer","R_0603_1608Metric","39.8500","127.4400","0",""
"R119","1K","BottomLayer","R_0603_1608Metric","37.6500","24.6900","0",""
"Q35","2N7002ET1G","BottomLayer","SOT-23","47.4500","126.5400","180",""
"Q29","2N7002ET1G","BottomLayer","SOT-23","43.5000","35.9025","0",""
"Q48","2N7002ET1G","BottomLayer","SOT-23","47.5500","24.4900","180",""
"C23","100nF","BottomLayer","C_0603_1608Metric","46.3600","35.9900","270",""
"C24","100nF","BottomLayer","C_0603_1608Metric","46.6100","28.0775","270",""
"Q36","2N7002ET1G","BottomLayer","SOT-23","47.3500","108.2650","180",""
"C44","100nF","BottomLayer","C_0603_1608Metric","44.2200","17.3400","90",""
"C27","100nF","BottomLayer","C_0603_1608Metric","44.5700","100.3900","90",""
"R113","10K","BottomLayer","R_0603_1608Metric","42.4500","46.1400","90",""
"R122","10K","BottomLayer","R_0603_1608Metric","42.6325","24.4900","90",""
"C13","100nF","BottomLayer","C_0603_1608Metric","46.4500","104.3400","270",""
"R74","10K","BottomLayer","R_0603_1608Metric","48.1300","56.0025","270",""
"C45","100nF","BottomLayer","C_0603_1608Metric","44.4025","24.4900","90",""
"C14","100nF","BottomLayer","C_0603_1608Metric","46.4500","97.0400","270",""
"R33","1K","BottomLayer","R_0603_1608Metric","39.9000","121.8400","0",""
"R67","10K","BottomLayer","R_0603_1608Metric","48.1300","76.0400","270",""
"C35","100nF","BottomLayer","C_0603_1608Metric","31.4000","132.8400","90",""
"Q22","2N7002ET1G","BottomLayer","SOT-23","43.5000","82.7400","0",""
"C15","100nF","BottomLayer","C_0603_1608Metric","46.4500","89.7400","270",""
"Q47","2N7002ET1G","BottomLayer","SOT-23","47.4800","17.3400","180",""
"Q18","2N7002ET1G","BottomLayer","SOT-23","43.5000","111.8025","0",""
"Q23","2N7002ET1G","BottomLayer","SOT-23","43.5000","75.9525","0",""
"R95","10K","BottomLayer","R_0603_1608Metric","42.8000","115.4400","90",""
"R121","10K","BottomLayer","R_0603_1608Metric","42.4500","17.3400","90",""
"Q39","2N7002ET1G","BottomLayer","SOT-23","47.9000","72.7400","180",""
"J17","DG129-5.08-02P-14-00AH","TopLayer","DG129-5.08-02P","82.9000","39.5450","90",""
"R65","1K","TopLayer","R_0603_1608Metric","46.3500","82.9400","90",""
"J14","DG129-5.08-02P-14-00AH","TopLayer","DG129-5.08-02P","82.9000","79.7494","90",""
"J1","DG129-5.08-02P-14-00AH","TopLayer","DG129-5.08-02P","7.7000","119.9900","270",""
"J11","DG129-5.08-02P-14-00AH","TopLayer","DG129-5.08-02P","82.9000","119.9900","90",""
"K17","RT314F12","TopLayer","RELAY9-500X1142_618","63.0800","39.5400","0",""
"R107","1K","TopLayer","R_0603_1608Metric","44.0500","65.8900","90",""
"R64","1K","TopLayer","R_0603_1608Metric","45.4000","75.8900","90",""
"R104","1K","TopLayer","R_0603_1608Metric","45.0000","72.6400","90",""
"J9","Conn_01x04","TopLayer","PinHeader_1x04_P2.54mm_Vertical","45.3000","9.3900","90",""
"R103","1K","TopLayer","R_0603_1608Metric","45.8500","79.2400","90",""
"R69","1K","TopLayer","R_0603_1608Metric","44.5000","69.2900","90",""
"K5","RT314F12","TopLayer","RELAY9-500X1142_618","27.4900","93.1559","180",""
"R111","1K","TopLayer","R_0603_1608Metric","43.9500","52.6900","90",""
"J13","DG129-5.08-02P-14-00AH","TopLayer","DG129-5.08-02P","82.9000","93.1509","90",""
"K8","RT314F12","TopLayer","RELAY9-500X1142_618","27.4900","52.9515","180",""
"K4","RT314F12","TopLayer","RELAY9-500X1142_618","27.4900","106.5573","180",""
"J4","DG129-5.08-02P-14-00AH","TopLayer","DG129-5.08-02P","7.7000","79.7494","270",""
"K9","RT314F12","TopLayer","RELAY9-500X1142_618","27.4900","39.5500","180",""
"J10","Conn_01x04","TopLayer","PinHeader_1x04_P2.54mm_Vertical","45.3200","148.7400","90",""
"J18","DG129-5.08-02P-14-00AH","TopLayer","DG129-5.08-02P","82.9000","25.9950","90",""
"R100","1K","TopLayer","R_0603_1608Metric","46.8000","86.0900","90",""
"C5","1500uf/35V","TopLayer","CP_Radial_D12.5mm_P5.00mm","57.9190","143.7900","180",""
"J2","DG129-5.08-02P-14-00AH","TopLayer","DG129-5.08-02P","7.7000","106.5523","270",""
"R68","1K","TopLayer","R_0603_1608Metric","43.6000","62.6400","90",""
"K18","RT314F12","TopLayer","RELAY9-500X1142_618","63.0800","25.9900","0",""
"K15","RT314F12","TopLayer","RELAY9-500X1142_618","63.0800","66.3429","0",""
"H5","MountingHole","TopLayer","MountingHole_3mm","67.3000","14.7900","0",""
"K10","RT314F12","TopLayer","RELAY9-500X1142_618","27.4900","26.0000","180",""
"K13","RT314F12","TopLayer","RELAY9-500X1142_618","63.0800","93.1459","0",""
"K16","RT314F12","TopLayer","RELAY9-500X1142_618","63.0800","52.9415","0",""
"K12","RT314F12","TopLayer","RELAY9-500X1142_618","63.0800","106.5473","0",""
"R73","1K","TopLayer","R_0603_1608Metric","43.9500","55.9400","270",""
"K7","RT314F12","TopLayer","RELAY9-500X1142_618","27.4900","66.3529","180",""
"J8","DG129-5.08-02P-14-00AH","TopLayer","DG129-5.08-02P","7.7000","25.9950","270",""
"J6","DG129-5.08-02P-14-00AH","TopLayer","DG129-5.08-02P","7.7000","52.9465","270",""
"H8","MountingHole","TopLayer","MountingHole_3mm","23.3000","129.7900","0",""
"J5","DG129-5.08-02P-14-00AH","TopLayer","DG129-5.08-02P","7.7000","66.3479","270",""
"C36","100nF","TopLayer","C_0603_1608Metric","39.6500","138.5400","180",""
"R108","1K","TopLayer","R_0603_1608Metric","43.9500","59.2400","90",""
"J16","DG129-5.08-02P-14-00AH","TopLayer","DG129-5.08-02P","82.9000","52.9465","90",""
"J3","DG129-5.08-02P-14-00AH","TopLayer","DG129-5.08-02P","7.7000","93.1509","270",""
"C34","100nF","TopLayer","C_0603_1608Metric","45.8500","139.3400","180",""
"J12","DG129-5.08-02P-14-00AH","TopLayer","DG129-5.08-02P","82.9000","106.5523","90",""
"K1","RT314F12","TopLayer","RELAY9-500X1142_618","27.4900","119.9950","180",""
"J7","DG129-5.08-02P-14-00AH","TopLayer","DG129-5.08-02P","7.7000","39.5450","270",""
"K6","RT314F12","TopLayer","RELAY9-500X1142_618","27.4900","79.7544","180",""
"H7","MountingHole","TopLayer","MountingHole_3mm","67.3000","129.7900","0",""
"J15","DG129-5.08-02P-14-00AH","TopLayer","DG129-5.08-02P","82.9000","66.3479","90",""
"H6","MountingHole","TopLayer","MountingHole_3mm","23.3000","14.7900","0",""
"R112","1K","TopLayer","R_0603_1608Metric","45.6000","46.1400","90",""
"K14","RT314F12","TopLayer","RELAY9-500X1142_618","63.0800","79.7444","0",""
"K11","RT314F12","TopLayer","RELAY9-500X1142_618","63.0388","119.9900","0",""
"R72","1K","TopLayer","R_0603_1608Metric","45.6000","51.1400","90",""
